row_id,trial,finger,game,game_label,hand,on_target,spillover,individuation,on_target_cal,spillover_cal,individuation_cal,corrected,comparable,why_not,excluded
90,13,Index,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,33.908,68.08,0.3324704867239283,0.8413895781637718,0.6194722474977251,0.5759542506922445,True,True,,False
91,14,Pinky,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,62.849,46.132,0.5766968554151641,0.4486009992862241,0.9082258900652255,0.3306250803303663,True,True,,False
92,15,Middle,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,24.937,188.01999999999998,0.1170987570260663,0.22690627843494085,1.353447431335557,0.14357942594249526,True,True,,False
93,16,Index,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,36.113,65.937,0.353875551200392,0.8961042183622829,0.5999727024567788,0.5989693483619077,True,True,,False
94,17,Pinky,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,76.859,13.362,0.8518970084570111,0.5486009992862241,0.21899970555194304,0.7146957992982632,True,True,,False
95,18,Ring,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,32.512,204.828,0.13698491615404063,0.4028748451053284,1.574257488537482,0.2037672634502127,True,True,,False
97,20,Ring,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,29.439,203.465,0.1263997183388864,0.36479553903345724,1.4648577998061454,0.19937959354902543,True,True,,False
98,21,Middle,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,33.574,51.886,0.39286215773461264,0.3054959053685168,0.6485019725048505,0.32022702822937305,True,True,,False
99,22,Pinky,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,67.97,29.37,0.6982740908156975,0.48515346181299074,0.3363637238191993,0.5905578973854891,True,True,,False
100,23,Ring,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,30.095,183.516,0.14088693934301136,0.3729244114002478,1.3148867148708938,0.22095150671517655,True,True,,False
103,26,Index,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,78.951,115.345,0.40634392885082554,1.9590818858560795,1.0558828968094234,0.6497859932294376,True,True,,False
104,27,Ring,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,44.809,13.333,0.7706821230779815,0.5552540272614621,0.30912593673021044,0.6423726259194174,True,True,,False
105,28,Pinky,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,69.619,99.248,0.41227119567470255,0.49692362598144185,1.2355196925109613,0.28683398797362786,True,True,,False
106,29,Ring,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,34.589,216.902,0.13753573686533516,0.42861214374225526,1.5526720742171036,0.21633046882274573,True,True,,False
107,30,Pinky,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,60.948,109.392,0.35780204297287777,0.4350321199143469,1.366810142253684,0.24143740495402918,True,True,,False
110,33,Middle,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,29.277,216.63500000000002,0.11905478382510816,0.2663967242948135,1.5536489602487868,0.1463681524904227,True,True,,False
111,34,Pinky,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,79.498,72.968,0.5214146104705312,0.5674375446109922,0.7041632913948325,0.44623873195408387,True,True,,False
112,35,Middle,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,32.27,54.498,0.3719113037064356,0.29363057324840763,0.38899357601713064,0.43014970033558897,True,True,,False
113,36,Index,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,36.525,0.265,0.9927969556944822,0.9063275434243176,0.002411282984531392,0.9973465610641284,True,True,,False
115,38,Middle,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,15.376,198.362,0.07193854157894244,0.13990900818926297,1.425647957247744,0.08936692262118294,True,True,,False
116,39,Pinky,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,109.723,92.015,0.5438886079965103,0.7831763026409707,0.8870668134371644,0.4688995841994137,True,True,,False
117,40,Middle,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,47.383,36.723,0.5633724110051602,0.4311464968152866,0.2621199143468951,0.6219059366983017,True,True,,False
118,1,Pinky,2026-08-05/NA_141755_adaptive,14:17 adaptive,right,71.559,11.305,0.8635716354508591,0.5454192073170732,0.18802934273565164,0.7436366290148982,True,True,,False
119,2,Ring,2026-08-05/NA_141755_adaptive,14:17 adaptive,right,24.48,30.772,0.443060884673858,0.31065989847715736,0.3125945752644359,0.49844792386674414,True,True,,False
120,3,Middle,2026-08-05/NA_141755_adaptive,14:17 adaptive,right,40.097,42.208,0.48717574873944475,0.45461451247165535,0.387321079735768,0.539963527708488,True,True,,False
122,5,Ring,2026-08-05/NA_141755_adaptive,14:17 adaptive,right,26.152,2.306,0.9189683041675452,0.3318781725888325,0.056658476658476654,0.8541746917099377,True,True,,False
123,6,Index,2026-08-05/NA_141755_adaptive,14:17 adaptive,right,44.115,2.264,0.9511848034670863,1.0839066339066339,0.025025961062275597,0.9774323875266943,True,True,,False
124,7,Pinky,2026-08-05/NA_141755_adaptive,14:17 adaptive,right,90.839,6.8420000000000005,0.9299556720344796,0.6923704268292683,0.14000300857443715,0.8318026469615348,True,True,,False
125,8,Index,2026-08-05/NA_141755_adaptive,14:17 adaptive,right,28.184,0.0,1.0,0.6924815724815725,0.0,1.0,True,True,,False
126,9,Ring,2026-08-05/NA_141755_adaptive,14:17 adaptive,right,46.029,11.471,0.800504347826087,0.5841243654822336,0.13418060098482573,0.8131982831125544,True,True,,False
